YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,UnknownDose,Region,TargetGroup,Vaccine,Population
2020-W52,PL,72016,,,0,,0,0,0,PL51,Age15_17,AZ,37958138
2020-W52,PL,59906,,,0,,0,0,0,PL81,Age15_17,COM,37958138
2020-W52,PL,67147,,,0,,0,0,0,PL63,Age15_17,COM,37958138
2020-W52,PL,24424,,,0,,0,0,0,PL52,Age15_17,AZ,37958138
2020-W52,PL,99966,,,0,,0,0,0,PL41,Age15_17,MOD,37958138
2020-W52,PL,27688,,,0,,0,0,0,PL43,Age15_17,AZ,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age15_17,JANSS,37958138
2020-W52,PL,114784,,,0,,0,0,0,PL22,Age15_17,COM,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age15_17,MOD,37958138
2020-W52,PL,114784,,,0,,0,0,0,PL22,Age15_17,JANSS,37958138
2020-W52,PL,72016,,,1,,0,0,0,PL51,Age15_17,COM,37958138
2020-W52,PL,97831,,,0,,0,0,0,PL21,Age15_17,MOD,37958138
2020-W52,PL,114784,,,0,,0,0,0,PL22,Age15_17,AZ,37958138
2020-W52,PL,58767,,,0,,0,0,0,PL61,Age15_17,MOD,37958138
2020-W52,PL,32231,,,0,,0,0,0,PL84,Age15_17,JANSS,37958138
2020-W52,PL,58767,,,0,,0,0,0,PL61,Age15_17,JANSS,37958138
2020-W52,PL,27688,,,0,,0,0,0,PL43,Age15_17,MOD,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age15_17,COM,37958138
2020-W52,PL,64469,,,0,,0,0,0,PL71,Age15_17,COM,37958138
2020-W52,PL,45572,,,0,,0,0,0,PL42,Age15_17,JANSS,37958138
2020-W52,PL,64469,,,0,,0,0,0,PL71,Age15_17,AZ,37958138
2020-W52,PL,99966,,,0,,0,0,0,PL41,Age15_17,JANSS,37958138
2020-W52,PL,67147,,,0,,0,0,0,PL63,Age15_17,JANSS,37958138
2020-W52,PL,67147,,,0,,0,0,0,PL63,Age15_17,MOD,37958138
2020-W52,PL,24424,,,0,,0,0,0,PL52,Age15_17,MOD,37958138
2020-W52,PL,41292,,,0,,0,0,0,PL62,Age15_17,AZ,37958138
2020-W52,PL,33408,,,0,,0,0,0,PL72,Age15_17,AZ,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age15_17,AZ,37958138
2020-W52,PL,97831,,,0,,0,0,0,PL21,Age15_17,JANSS,37958138
2020-W52,PL,45572,,,0,,0,0,0,PL42,Age15_17,AZ,37958138
2020-W52,PL,33408,,,0,,0,0,0,PL72,Age15_17,JANSS,37958138
2020-W52,PL,62501,,,0,,0,0,0,PL82,Age15_17,MOD,37958138
2020-W52,PL,114784,,,0,,0,0,0,PL22,Age15_17,MOD,37958138
2020-W52,PL,1051166,,,1,,0,0,0,PL,Age15_17,COM,37958138
2020-W52,PL,67147,,,0,,0,0,0,PL63,Age15_17,AZ,37958138
2020-W52,PL,72016,,,0,,0,0,0,PL51,Age15_17,JANSS,37958138
2020-W52,PL,27688,,,0,,0,0,0,PL43,Age15_17,JANSS,37958138
2020-W52,PL,41292,,,0,,0,0,0,PL62,Age15_17,MOD,37958138
2020-W52,PL,41292,,,0,,0,0,0,PL62,Age15_17,COM,37958138
2020-W52,PL,58767,,,0,,0,0,0,PL61,Age15_17,AZ,37958138
2020-W52,PL,32231,,,0,,0,0,0,PL84,Age15_17,COM,37958138
2020-W52,PL,33408,,,0,,0,0,0,PL72,Age15_17,MOD,37958138
2020-W52,PL,64469,,,0,,0,0,0,PL71,Age15_17,MOD,37958138
2020-W52,PL,24424,,,0,,0,0,0,PL52,Age15_17,COM,37958138
2020-W52,PL,62501,,,0,,0,0,0,PL82,Age15_17,JANSS,37958138
2020-W52,PL,99966,,,0,,0,0,0,PL41,Age15_17,AZ,37958138
2020-W52,PL,1051166,,,0,,0,0,0,PL,Age15_17,MOD,37958138
2020-W52,PL,59906,,,0,,0,0,0,PL81,Age15_17,AZ,37958138
2020-W52,PL,27688,,,0,,0,0,0,PL43,Age15_17,COM,37958138
2020-W52,PL,24424,,,0,,0,0,0,PL52,Age15_17,JANSS,37958138
2020-W52,PL,88801,,,0,,0,0,0,PL84,Age18_24,COM,37958138
2020-W52,PL,155296,,,0,,0,0,0,PL61,Age18_24,MOD,37958138
